STATE,,YEAR,MONTH,MIN_TEMP,MAX_TEMP,RAINFALL,CLOUD_COVER,WET_DAY_FREQ,DIURNAL_TEMP,FLOOD OCCURRENCE,,,,,,,,,,,
BIHAR,SITAMARHI,1992,FEBRUARY,9.491,16.702,4.477,28.402,1.0001,14.478,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,MARCH,17.733,25.625,2.247,31.521,1.0001,15.805,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,APRIL,22.267,29.841,7.72,25.622,1.0001,15.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,MAY,23.227,29.799,38.021,38.505,2.7946,13.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,JUNE,25.76,30.88,14.136,59.022,3.0708,10.285,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,JULY,26.044,29.598,272.426,73.447,10.6051,7.139,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1992,AUGUST,25.602,28.935,251.832,69.418,10.3734,6.691,YES,,,,,,,,,,,
BIHAR,SITAMARHI,1992,SEPTEMBER,25.625,29.46,123.931,59.944,6.7546,7.672,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,OCTOBER,22.527,27.545,56.681,37.569,2.6881,10.037,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,NOVEMBER,15.241,22.054,0.639,26.143,0.324,13.657,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1992,DECEMBER,10.473,17.437,0.191,28.828,0.1914,13.984,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,JANUARY,10.306,17.218,9.614,25.921,1.2557,13.824,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,FEBRUARY,13.576,20.789,0.224,28.343,0.224,14.478,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,MARCH,15.323,23.217,10.576,31.521,1.1182,15.805,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,APRIL,20.619,28.191,18.148,25.622,1.0718,15.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,MAY,24.336,30.908,65.928,38.6,3.1919,13.217,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,JUNE,25.971,31.111,66.392,59.022,3.8553,10.285,NO,,,,,,,,,,,
BIHAR,SITAMARHI,1993,JULY,26.693,30.247,81.708,73.447,6.8497,7.139,NO,,,,,,,,,,,
